User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,Join Month,Last Payment Month
1,Basic,10,2022-01-15,2023-06-10,United States,28,Male,Smartphone,1 Month,January,June
2,Premium,15,2021-09-05,2023-06-22,Canada,35,Female,Tablet,1 Month,September,June
3,Standard,12,2023-02-28,2023-06-27,United Kingdom,42,Male,Smart TV,1 Month,February,June
4,Standard,12,2022-07-10,2023-06-26,Australia,51,Female,Laptop,1 Month,July,June
5,Basic,10,2023-05-01,2023-06-28,Germany,33,Male,Smartphone,1 Month,May,June
6,Premium,15,2022-03-18,2023-06-27,France,29,Female,Smart TV,1 Month,March,June
7,Standard,12,2021-12-09,2023-06-25,Brazil,46,Male,Tablet,1 Month,December,June
8,Basic,10,2023-04-02,2023-06-24,Mexico,39,Female,Laptop,1 Month,April,June
9,Standard,12,2022-10-20,2023-06-23,Spain,37,Male,Smartphone,1 Month,October,June
10,Premium,15,2023-01-07,2023-06-22,Italy,44,Female,Smart TV,1 Month,January,June
11,Basic,10,2022-05-16,2023-06-22,United States,31,Female,Smartphone,1 Month,May,June
12,Premium,15,2023-03-23,2023-06-28,Canada,45,Male,Tablet,1 Month,March,June
13,Standard,12,2021-11-30,2023-06-27,United Kingdom,48,Female,Laptop,1 Month,November,June
14,Basic,10,2022-08-01,2023-06-26,Australia,27,Male,Smartphone,1 Month,August,June
15,Standard,12,2023-05-09,2023-06-28,Germany,38,Female,Smart TV,1 Month,May,June
16,Premium,15,2022-04-07,2023-06-27,France,36,Male,Tablet,1 Month,April,June
17,Basic,10,2022-01-24,2023-06-25,Brazil,30,Female,Laptop,1 Month,January,June
18,Standard,12,2021-10-18,2023-06-24,Mexico,43,Male,Smartphone,1 Month,October,June
19,Premium,15,2023-02-15,2023-06-23,Spain,32,Female,Smart TV,1 Month,February,June
20,Basic,10,2023-05-27,2023-06-22,Italy,41,Male,Tablet,1 Month,May,June
21,Premium,15,2023-06-10,2023-06-22,United States,26,Female,Laptop,1 Month,June,June
22,Basic,10,2022-07-22,2023-06-28,Canada,34,Male,Smartphone,1 Month,July,June
23,Standard,12,2021-12-05,2023-06-27,United Kingdom,49,Female,Smart TV,1 Month,December,June
24,Standard,12,2022-04-03,2023-06-26,Australia,31,Male,Tablet,1 Month,April,June
25,Basic,10,2023-03-14,2023-06-28,Germany,40,Female,Laptop,1 Month,March,June
26,Premium,15,2022-01-12,2023-06-27,France,29,Male,Smartphone,1 Month,January,June
27,Basic,10,2022-08-29,2023-06-25,Brazil,47,Female,Smart TV,1 Month,August,June
28,Standard,12,2021-09-27,2023-06-24,Mexico,33,Male,Tablet,1 Month,September,June
29,Premium,15,2022-12-19,2023-06-23,Spain,36,Female,Laptop,1 Month,December,June
30,Basic,10,2023-05-17,2023-06-22,Italy,42,Male,Smartphone,1 Month,May,June
31,Premium,15,2023-02-03,2023-06-22,United States,28,Female,Smart TV,1 Month,February,June
32,Basic,10,2022-07-07,2023-06-28,Canada,37,Male,Tablet,1 Month,July,June
33,Standard,12,2022-01-21,2023-06-27,United Kingdom,41,Female,Laptop,1 Month,January,June
34,Standard,12,2022-05-25,2023-06-26,Australia,29,Male,Smartphone,1 Month,May,June
35,Basic,10,2023-04-11,2023-06-28,Germany,39,Female,Smart TV,1 Month,April,June
36,Premium,15,2022-03-01,2023-06-27,France,35,Male,Tablet,1 Month,March,June
37,Basic,10,2022-09-14,2023-06-25,Brazil,45,Female,Laptop,1 Month,September,June
38,Standard,12,2021-11-05,2023-06-24,Mexico,32,Male,Smartphone,1 Month,November,June
39,Premium,15,2022-12-28,2023-06-23,Spain,27,Female,Smart TV,1 Month,December,June
40,Basic,10,2023-03-07,2023-06-22,Italy,48,Male,Tablet,1 Month,March,June
41,Premium,15,2023-01-20,2023-06-22,United States,31,Female,Laptop,1 Month,January,June
42,Basic,10,2022-06-15,2023-06-28,Canada,40,Male,Smartphone,1 Month,June,June
43,Standard,12,2022-02-07,2023-06-27,United Kingdom,36,Female,Smart TV,1 Month,February,June
44,Standard,12,2022-04-26,2023-06-26,Australia,29,Male,Tablet,1 Month,April,June
45,Basic,10,2023-01-28,2023-06-28,Germany,43,Female,Laptop,1 Month,January,June
46,Premium,15,2022-02-23,2023-06-27,France,34,Male,Smartphone,1 Month,February,June
47,Basic,10,2022-10-05,2023-06-25,Brazil,39,Female,Smart TV,1 Month,October,June
48,Standard,12,2021-09-15,2023-06-24,Mexico,32,Male,Tablet,1 Month,September,June
49,Premium,15,2022-11-10,2023-06-23,Spain,28,Female,Laptop,1 Month,November,June
50,Basic,10,2023-06-02,2023-06-22,Italy,45,Male,Smartphone,1 Month,June,June
51,Premium,15,2023-02-27,2023-06-22,United States,30,Female,Smart TV,1 Month,February,June
52,Basic,10,2022-08-29,2023-06-28,Canada,37,Male,Tablet,1 Month,August,June
53,Standard,12,2022-01-13,2023-06-27,United Kingdom,41,Female,Laptop,1 Month,January,June
54,Standard,12,2022-06-30,2023-06-26,Australia,29,Male,Smartphone,1 Month,June,June
55,Basic,10,2023-04-20,2023-06-28,Germany,39,Female,Smart TV,1 Month,April,June
56,Premium,15,2022-03-15,2023-06-27,France,36,Male,Tablet,1 Month,March,June
57,Basic,10,2022-10-01,2023-06-25,Brazil,46,Female,Laptop,1 Month,October,June
58,Standard,12,2021-10-08,2023-06-24,Mexico,34,Male,Smartphone,1 Month,October,June
59,Premium,15,2022-12-03,2023-06-23,Spain,27,Female,Smart TV,1 Month,December,June
60,Basic,10,2023-06-14,2023-06-22,Italy,42,Male,Tablet,1 Month,June,June
61,Premium,15,2023-02-08,2023-06-22,United States,28,Female,Laptop,1 Month,February,June
62,Basic,10,2022-08-03,2023-06-28,Canada,37,Male,Smartphone,1 Month,August,June
63,Standard,12,2022-02-23,2023-06-27,United Kingdom,41,Female,Smart TV,1 Month,February,June
64,Standard,12,2022-06-20,2023-06-26,Australia,29,Male,Tablet,1 Month,June,June
65,Basic,10,2023-03-29,2023-06-28,Germany,40,Female,Laptop,1 Month,March,June
66,Premium,15,2022-01-30,2023-06-27,France,29,Male,Smartphone,1 Month,January,June
67,Basic,10,2022-09-18,2023-06-25,Brazil,47,Female,Smart TV,1 Month,September,June
68,Standard,12,2021-11-09,2023-06-24,Mexico,33,Male,Tablet,1 Month,November,June
69,Premium,15,2022-12-23,2023-06-23,Spain,36,Female,Laptop,1 Month,December,June
70,Basic,10,2023-05-08,2023-06-22,Italy,41,Male,Smartphone,1 Month,May,June
71,Basic,10,2022-01-26,2023-06-20,United States,27,Male,Smartphone,1 Month,January,June
72,Basic,10,2022-10-11,2023-06-22,Canada,31,Female,Smartphone,1 Month,October,June
73,Standard,12,2022-09-27,2023-06-26,United Kingdom,28,Female,Laptop,1 Month,September,June
74,Premium,13,2022-12-14,2023-06-25,Australia,41,Female,Smartphone,1 Month,December,June
75,Basic,13,2022-05-28,2023-06-26,Germany,28,Female,Laptop,1 Month,May,June
76,Basic,13,2021-12-29,2023-06-26,France,51,Female,Laptop,1 Month,December,June
77,Premium,15,2022-12-25,2023-06-23,Brazil,45,Female,Smartphone,1 Month,December,June
78,Standard,15,2022-11-18,2023-06-28,Mexico,49,Male,Tablet,1 Month,November,June
79,Standard,15,2022-12-03,2023-06-25,Spain,43,Female,Laptop,1 Month,December,June
80,Basic,12,2022-11-08,2023-06-22,Italy,43,Male,Tablet,1 Month,November,June
81,Premium,10,2023-01-11,2023-06-24,United States,37,Male,Tablet,1 Month,January,June
82,Standard,12,2022-12-07,2023-06-28,Canada,35,Male,Laptop,1 Month,December,June
83,Basic,10,2022-10-20,2023-06-26,United Kingdom,46,Female,Smartphone,1 Month,October,June
84,Standard,12,2023-04-13,2023-06-25,Australia,32,Male,Smartphone,1 Month,April,June
85,Premium,10,2023-04-06,2023-06-27,Germany,37,Female,Laptop,1 Month,April,June
86,Basic,11,2022-03-04,2023-06-25,France,29,Female,Smartphone,1 Month,March,June
87,Premium,15,2021-12-28,2023-06-23,Brazil,45,Male,Smart TV,1 Month,December,June
88,Standard,12,2022-09-27,2023-06-28,Mexico,47,Male,Tablet,1 Month,September,June
89,Basic,15,2022-10-20,2023-06-26,Spain,39,Male,Smartphone,1 Month,October,June
90,Standard,13,2023-02-03,2023-06-23,Italy,49,Female,Smartphone,1 Month,February,June
91,Premium,11,2022-10-03,2023-06-23,United States,39,Male,Tablet,1 Month,October,June
92,Basic,14,2022-01-05,2023-06-28,Canada,39,Male,Smart TV,1 Month,January,June
93,Standard,12,2022-02-05,2023-06-26,United Kingdom,35,Male,Smartphone,1 Month,February,June
94,Premium,12,2022-03-19,2023-06-25,Australia,44,Male,Smartphone,1 Month,March,June
95,Basic,11,2022-02-28,2023-06-25,Germany,34,Male,Laptop,1 Month,February,June
96,Premium,14,2022-07-26,2023-06-24,France,32,Male,Laptop,1 Month,July,June
97,Basic,10,2022-03-05,2023-06-24,Brazil,29,Female,Tablet,1 Month,March,June
98,Standard,13,2022-03-07,2023-06-28,Mexico,31,Female,Tablet,1 Month,March,June
99,Standard,12,2023-01-13,2023-06-24,Spain,29,Female,Tablet,1 Month,January,June
100,Basic,12,2023-01-22,2023-06-25,Italy,35,Male,Laptop,1 Month,January,June
101,Premium,11,2022-10-17,2023-06-24,United States,46,Female,Tablet,1 Month,October,June
102,Basic,12,2022-03-29,2023-06-28,Canada,31,Male,Tablet,1 Month,March,June
103,Standard,13,2022-04-04,2023-06-26,United Kingdom,36,Male,Laptop,1 Month,April,June
104,Premium,10,2022-06-08,2023-06-25,Australia,38,Male,Laptop,1 Month,June,June
105,Basic,11,2022-03-04,2023-06-27,Germany,46,Female,Laptop,1 Month,March,June
106,Premium,10,2022-03-18,2023-06-24,France,49,Female,Tablet,1 Month,March,June
107,Basic,14,2022-03-07,2023-06-24,Brazil,29,Female,Smart TV,1 Month,March,June
108,Standard,12,2022-05-24,2023-06-25,Mexico,27,Female,Smart TV,1 Month,May,June
109,Standard,13,2023-02-08,2023-06-25,Spain,35,Female,Tablet,1 Month,February,June
110,Basic,13,2023-01-26,2023-06-24,Italy,37,Female,Laptop,1 Month,January,June
111,Premium,14,2022-07-14,2023-06-27,United States,40,Male,Tablet,1 Month,July,June
